y,F1,F2
0,27410,2625
8,44304,3186
1,36180,2904
7,24973,1915
9,27028,2693
3,16677,3884
3,12166,1523
23,23469,19960
4,28539,20135
34,26115,23072
30,25632,18984
15,22695,13054
5,26321,2725
5,20315,3409
1,24379,19053
2,30168,2584
3,18394,6207
3,22784,1558
16,38164,13199
12,44884,10823
12,39350,8079
7,22424,7091
2,14100,2587
8,25724,18268
9,11547,11273
14,43181,9688
6,31038,4297
6,46312,4670
5,26286,4482
7,26626,3034
0,30223,956
36,46046,14175
6,31345,5294
8,30649,4201
12,32659,4391
11,48945,1348
5,34655,4848
0,9246,5294
10,36697,6487
10,44501,8186
12,41608,2507
8,42356,28073
4,42233,3047
1,32606,9927
0,28483,1353
24,41002,33335
4,42289,2091
13,34187,26430
12,37031,2985
2,37698,5677
7,39706,6951
22,41737,28456
5,21935,16950
2,39512,1822
3,38512,5694
31,43215,24918
7,37699,3107
22,43474,24631
5,37098,2924
8,72178,8271
6,28044,13054
3,32413,1002
6,22388,3257
4,25616,3994
1,21994,4066
4,31233,1055
13,34387,6530
4,36233,2683
3,13794,3989
3,21812,2162
4,14399,8348
2,24514,1879
17,17690,15721
1,33450,1204
6,28736,2982
11,31899,4444
8,32561,2301
7,37456,4223
7,30595,3571
20,17486,16079
26,26397,18336
6,37176,3071
19,17727,13325
21,25123,23483
37,28801,28112
18,27992,5969
4,30670,3313
45,35850,35094
33,56623,15590
12,27916,8069
14,18665,15856
1,34959,1973
12,22776,16980
1,32369,1506
18,32725,30824
14,17960,11838
5,26225,1815
4,31294,1947
19,35897,24971
21,27087,22771
51,38824,34693
1,18847,1481
24,36091,26974
5,34655,4007
13,25250,22389
6,21897,5636
10,21915,18641
13,21609,14485
6,23009,15038
5,28765,5096
5,45187,10832
2,36707,6794
7,35974,5204
15,34239,11987
28,35592,33441
19,38282,34169
5,27824,4031
0,34944,2035
2,27902,7462
11,25597,8031
7,30076,16807
0,38025,2136
31,47213,36455
22,43410,36002
25,42935,27256
2,29359,823
2,23702,1253
3,28448,8225
4,18500,18283
7,19748,8694
5,36002,14603
20,26836,20557
16,26321,17638
1,15899,4569
19,30867,5320
12,29065,16443
3,38264,2634
24,35955,11738
3,28081,5441
5,41697,5052
8,46441,6330
13,26320,8560
12,25136,6921
18,49968,15184
4,23614,7032
6,23737,5384
9,31992,9789
10,35871,4026
3,21443,2762
5,20701,14853
7,16273,10794
14,33931,4635
5,26805,3178
3,25445,1029
5,16751,9675
8,18477,12366
17,47675,23010
33,32362,28946
29,33362,25679
0,15619,2160
8,19712,1756
8,23669,12117
6,22268,2804
5,20573,3168
28,45669,27754
18,17262,13124
2,14637,3524
23,31176,25509
15,29118,15908
33,42436,13141
3,10049,5791
23,43666,11192
24,31646,27729
15,24876,20126
47,47909,29396
23,37933,14706
3,22775,1951
3,24174,2888
13,41591,19690
11,28060,19945
3,27267,6123
4,19742,11654
22,19075,18422
4,20663,2813
10,29342,29198
7,39797,7316
17,31945,27127
13,20345,14064
2,18884,4145
2,23727,1913
13,19680,15423
1,18632,6173
5,24544,10555
4,30431,18211
4,29346,8375
5,20455,5002
24,34604,12770
8,20300,18680
8,21309,12893
5,27425,20597
8,26293,17598
6,23870,8279
5,15084,13241
4,43062,2176
2,36747,4551
11,28045,8254
1,32301,1914
7,38761,3374
2,21039,53
1,21452,1883
7,35426,3564
4,17712,5366
13,46975,11225
18,36411,10052
5,28785,1205
4,20005,16460
38,33737,20148
6,23862,4347
8,21305,3553
9,20490,16183
24,39257,17391
25,32980,28011
16,31241,20613
18,24561,12257
13,32496,5561
34,43578,26100
13,15188,10062
5,25217,4688
22,32020,17542
17,32484,25042
8,16652,9188
20,33558,10316
10,28095,7015
12,52569,4385
25,32657,15493
10,22009,8454
3,25076,3343
10,11631,7621
4,19296,11642
9,12373,7199
4,29911,6204
8,28545,8701
3,13470,4311
3,15825,6738
14,37395,9208
1,29128,3172
0,27606,6670
10,20325,8159
8,32295,4946
0,15579,2583
3,39638,2688
3,24568,16850
8,24215,20863
5,25395,7702
7,36543,11799
14,30269,12596
11,38428,16952
10,37910,675
19,36221,8906
2,11103,2936
18,24941,11536
14,18371,17367
12,23677,14940
3,13247,961
14,32617,20334
15,15620,15482
8,31708,8730
1,29921,3269
9,21632,13090
7,20678,9009
11,11831,11449
7,14740,3961
8,11549,9033
19,36488,20201
10,20673,15558
13,18891,13902
19,31089,15718
15,15042,11320
6,38128,5547
14,41996,4478
6,52647,3034
5,13944,3905
14,30375,12708
5,48170,7291
6,21256,2103
7,40327,2767
2,12923,2313
13,55733,4798
14,30831,14038
13,26160,8891
5,20477,13690
2,5469,5044
7,36607,4984
6,39248,5734
3,26718,2805
3,36298,1422
5,34912,724
11,17405,12393
11,22711,14046
12,42965,5641
10,21049,19418
5,15710,14746
18,18867,17866
2,16378,2305
11,36117,9833
6,13001,10889
8,14233,10366
6,13092,12961
10,15545,14840
11,40172,6584
7,29527,3028
8,35798,2559
0,16412,3060
5,13062,11446
15,24858,6678
5,15248,7440
22,14962,12947
7,14912,13330
9,19766,16965
16,52920,21229
5,20908,3086
14,36013,3785
1,33089,2812
8,25953,6461
5,11878,11661
10,47865,4785
7,43871,18389
3,38280,2554
4,13935,5148
3,16485,4164
1,9061,4311
3,17123,11318
12,15268,10448
3,10591,6667
6,18129,7271
8,23211,2801
17,29038,10320
12,29801,13533
3,13695,13348
14,14488,10970
0,15551,959
3,11933,3337
9,35628,7044
10,15796,11720
5,10903,10895
8,15045,4650
13,32578,3421
5,61772,5815
10,42330,7323
5,28473,6028
20,43339,10779
5,17821,6763
9,12555,11899
11,33715,5249
12,29119,7362
5,28486,1857
25,37170,19132
2,30326,2560
2,22526,2429
7,27434,10977
5,16706,9897
1,18468,1463
16,32178,12266
7,20699,13110
3,26266,1526
23,26256,12419
2,24732,1550
5,23562,21640
18,27755,16900
8,16840,16110
8,18452,15532
2,28020,1807
23,29707,15823
22,22652,18435
13,19787,14994
5,33130,11432
2,10892,1698
1,5967,5213
7,24350,3770
12,25991,8441
4,16497,2517
3,35702,2062
4,27950,2937
5,16304,5516
0,27964,1596
20,29781,28035
20,24642,24425
23,34142,20877
15,23430,18068
9,40647,4057
9,15741,8070
17,27537,5619
51,50690,41448
17,28625,7573
38,31681,26408
24,32338,17539
9,36430,5064
10,29379,28960
9,29182,6012
12,25986,9273
9,26102,3529
54,38395,33936
5,40441,3891
27,38096,23079
18,29205,7850
23,34667,34557
13,12888,12848
16,21276,17623
5,10520,2983
4,13531,7167
9,21207,10455
5,17479,6176
10,34949,6804
5,23945,3713
15,13872,13044
23,21243,20240
14,24899,22600
44,48854,34041
5,34196,9538
3,25115,798
14,16355,12160
30,33406,31749
21,25021,14526
42,22439,21553
2,28935,2313
35,47983,41029
12,30915,17720
5,30482,2615
5,20238,3485
13,46842,12497
15,17342,9117
10,31563,27663
18,26018,24913
19,27842,18012
7,18863,7452
26,23010,17497
16,17227,14563
5,23179,4469
8,45369,10300
7,14512,9899
2,16959,2146
3,22095,4037
11,20186,13124
6,39996,2812
5,46550,5732
26,19463,12821
2,23102,1679
17,20875,12406
5,42237,7878
6,15534,6068
12,17392,15395
24,24175,11390
21,47962,17914
15,26091,11576
3,21061,8879
29,20858,14062
20,22139,14949
8,17352,15249
11,21411,9624
3,32836,6194
2,23297,4549
1,16452,2707
9,17187,10311
4,20882,3204
2,25011,2592
8,36388,1940
7,42368,2623
1,33005,5622
4,21139,3473
36,36745,27614
21,31560,24067
27,30780,28082
32,45015,26320
20,40216,25254
2,28800,546
16,23887,16320
20,51086,19246
3,26119,3091
16,36205,6491
42,43169,19157
17,29690,29317
11,28331,19450
27,50844,20805
11,25664,5980
20,31920,20536
15,37430,22722
23,33249,21557
6,19996,6653
4,32194,1293
36,42450,27831
28,46543,30536
13,28449,15025
28,29084,23644
29,46618,5316
11,25684,6796
33,47184,33951
39,40926,27777
28,33159,31918
20,31365,28423
19,24775,17136
4,21323,12731
24,38496,21642
9,27910,14588
34,39932,32935
5,22917,5369
13,48670,10743
9,49705,7619
4,24165,8834
2,44290,3069
1,18126,4388
9,46478,10223
3,14586,6090
19,49691,13600
14,17330,10834
7,21325,13534
13,23805,21934
1,23416,5727
2,24664,3935
7,9506,7521
10,25298,4226
4,23729,8827
3,10437,5011
21,39433,16408
5,16759,7755
2,19866,2448
4,23874,7448
9,24235,6295
6,40149,3615
3,31274,2329
5,24391,5982
9,42537,17885
22,27364,20328
53,37191,25081
25,36659,34934
41,35466,33381
6,25228,3773
29,25638,19751
23,34037,25660
23,33476,24796
21,18854,15366
19,24154,21288
7,20734,13717
35,32068,21249
15,32865,8397
5,13886,5622
26,56590,14368
16,29844,14920
29,36950,13387
7,36236,5232
7,28156,3533
10,21844,8099
34,32325,24799
32,30560,25320
7,21965,5147
34,35788,26029
14,29104,15025
36,43887,26696
9,21398,3225
3,17638,5914
7,18292,11893
15,28479,14352
10,40135,7925
6,29124,5269
3,31686,7150
2,34854,2284
7,13930,12289
24,30364,18820
6,13616,8415
4,12374,3146
18,19735,12573
2,13654,3214
12,18198,13522
11,17823,15218
15,16969,15536
15,20981,15854
8,18871,17980
6,19441,16517
3,16477,4881
27,47549,12226
2,18733,2128
5,14685,9185
5,13894,4318
2,33961,2087
5,21586,3787
5,21448,9718
13,35159,3883
5,22743,7541
17,32069,4774
2,11481,8993
3,9622,3890
0,7361,3612
9,27337,7367
4,14697,2307
2,15843,2792
10,22334,16921
3,22375,4380
2,31644,4150
3,14857,6917
4,29497,5757
8,33578,4894
7,20945,5272
4,23450,4058
6,21456,2079
8,23134,2136
17,39304,9197
3,24657,3496
8,25252,2689
4,17634,9203
7,20578,3305
4,26031,3519
10,43564,5172
4,45731,14780
14,38501,14264
21,30614,11060
8,25084,13377
8,27959,6077
11,30909,11815
0,45840,5811
5,44394,25351
12,30466,25583
2,11508,1648
4,37348,5295
18,49529,5673
18,27166,6248
6,17201,9848
2,12842,5278
5,17214,5482
4,22045,6264
2,11674,3034
4,25491,1748
27,40492,20930
24,34357,31732
12,19613,10519
12,15960,10233
26,33649,21434
8,27012,3135
29,32184,27348
8,21033,5671
19,26295,21481
2,18577,3173
29,41488,19743
12,22959,4721
21,22805,16248
40,29712,26396
7,24571,11221
30,42419,16707
9,23246,10494
16,29813,12271
10,23690,5647
10,31791,14867
12,15892,10259
7,13779,6734
41,35228,34376
4,37081,3949
2,28460,1857
16,20259,11693
8,38330,3976
33,40272,25766
27,29491,21741
20,43690,28671
46,49541,28600
7,34584,2850
40,43768,33899
17,32621,7459
2,18681,1875
7,26485,6744
42,42262,34910
16,26231,13892
39,40685,22612
4,11357,10475
16,29181,13426
7,19698,6970
23,30500,12643
7,18155,12256
1,22579,1469
31,40564,24794
7,26482,7588
6,37184,2777
10,32675,8696
14,31857,7666
25,42871,20277
16,36952,2014
24,34884,18409
4,36271,3347
6,39928,2752
16,54972,4894
5,24492,7759
3,25519,3419
27,23041,20458
4,19362,4514
13,23695,5304
1,17756,2470
3,20077,3749
5,21182,9093
13,32455,25925
12,35859,7777
24,34599,33362
3,23788,12337
6,21724,3497
1,31952,2774
2,15950,4671
5,20437,10014
18,25256,12581
1,22004,1917
4,15764,71
5,20998,7694
2,24067,8792
3,14651,2886
3,18725,2494
3,16890,676
2,23003,934
3,16527,2524
2,13705,1096
5,12862,4415
5,20602,7437
9,37728,4587
3,26748,3014
12,32190,22691
36,33405,25506
14,42037,15316
38,39853,27702
26,41445,24117
2,21320,2604
12,23035,14620
20,22340,15360
19,43732,20346
3,19544,2742
3,8649,4070
5,17951,11955
12,34017,12476
17,19821,18374
44,40457,32802
28,43834,30178
18,20179,17249
19,37315,24449
3,18100,3684
7,13753,4081
50,48198,41288
12,41825,10546
6,30525,3642
22,36178,26000
7,32608,7573
2,17403,465
6,13344,4213
4,15562,2991
2,18357,3559
1,8071,3581
2,28953,3207
14,49662,4959
1,33935,1308
1,29138,1982
7,20917,2293
13,35261,9200
11,22976,6295
22,50811,13386
9,31257,2827
48,53557,12557
22,46117,24315
10,26734,12653
3,12983,10094
6,17441,3562
22,28861,22456
19,31754,10839
6,30832,1698
9,24595,8887
14,43485,5889
34,45491,29783
18,22711,19065
8,14323,9240
9,18383,13005
13,15848,13667
14,23327,14227
22,23761,16784
1,9801,8427
1,22963,7081
7,36067,10853
12,28108,14776
16,26262,19159
1,18386,9187
15,24115,7197
7,15706,4000
10,34100,4099
