Crashes,ln.AADT,Railway_traffic,Presence of comm area,Distance of train detector,Warning time difference,Presence of speed hump,Track circuit controller,Presence of guide
0,2.30259,57,0,1000,61,0,1,0
0,2.30259,83,0,1161.5,46,0,0,0
0,2.30259,57,0,890,20,0,1,0
0,2.30259,42,0,665,17,0,0,0
0,2.30259,42,0,685,0,0,0,0
0,2.30259,32,0,710,5,0,0,0
0,2.30259,32,0,610,13,0,0,0
0,2.30259,32,0,852.5,12,0,0,0
0,2.30259,32,0,723,5,0,0,0
0,2.56495,74,0,996,18,0,0,0
0,2.63906,110,0,1070,20,0,0,0
0,2.63906,55,0,1037,8,0,0,0
0,2.89037,32,0,683,15,0,0,0
1,2.99573,109,0,1007.5,47,0,0,0
0,3.3673,32,0,747.5,22,0,0,0
0,3.46574,32,0,605,14,0,0,0
0,3.55535,32,0,736,75,0,0,0
0,3.98898,109,0,1008.5,24,0,0,0
0,4.09434,88,0,885,24,0,0,0
0,4.17439,32,0,727.5,10,0,0,0
0,4.2485,109,0,948.5,42,0,0,0
0,4.52179,83,0,969,46,0,0,0
1,4.60517,98,0,986,20,0,0,0
0,4.64439,104,0,977,23,0,0,0
0,4.64439,110,0,1081.5,27,0,0,0
0,4.64439,55,0,1149,3,0,0,0
0,4.66344,64,0,1117.5,20,0,1,0
0,4.94164,101,0,919.5,20,0,0,0
2,4.99043,42,0,913.5,7,0,0,0
0,5.00395,90,0,995,29,0,0,0
0,5.05625,110,0,1329,24,1,0,0
0,5.0876,90,0,997.5,7,0,0,0
0,5.22036,44,0,834,14,0,0,0
0,5.2575,56,0,1265,28,0,1,0
0,5.26786,55,0,950,13,0,1,0
1,5.29832,55,0,1069,18,0,0,0
0,5.31321,110,0,1127,32,0,0,0
0,5.32788,85,0,1122.5,36,0,0,0
0,5.36598,110,0,1117.5,19,0,0,0
0,5.3799,110,0,1160,27,0,0,0
1,5.40268,104,0,1174,25,0,0,0
0,5.42495,64,0,904.5,19,0,1,0
0,5.54908,197,0,0,16,0,0,0
0,5.59842,32,0,730.5,8,0,0,0
1,5.6204,86,0,956,56,0,0,0
0,5.64191,32,0,842.5,16,0,0,0
0,5.68698,55,0,757,15,0,1,0
0,5.68698,57,0,835,39,0,1,0
0,5.68698,42,0,665,14,0,0,0
0,5.68698,32,0,800,20,0,0,0
0,5.68698,32,0,0,0,0,0,0
0,5.68698,32,0,0,0,0,0,0
0,5.68698,109,0,997.5,21,0,0,0
0,5.68698,40,0,888.5,18,0,0,0
0,5.70378,90,0,992,29,0,0,0
1,5.70378,109,0,919.5,30,0,0,0
0,5.78383,110,0,1144,29,0,0,0
0,5.8522,44,0,855,7,0,0,0
0,5.8861,55,0,1090,10,0,1,0
2,5.93489,104,0,1040,38,0,0,0
0,5.94017,50,0,1192.5,20,0,1,0
0,5.94017,50,0,922.5,13,0,1,0
0,6.01127,91,0,959.5,20,0,0,0
0,6.01616,32,0,705,10,0,0,0
1,6.02587,90,1,927,18,0,1,0
2,6.06146,40,1,922.5,27,0,0,0
0,6.16961,58,0,1015,27,0,1,0
0,6.20658,68,0,744,13,0,0,0
0,6.2186,44,0,798.5,17,0,0,0
0,6.29157,64,0,1258,18,0,1,0
0,6.29895,91,0,980,16,0,0,0
0,6.30992,32,0,772.5,104,0,0,0
0,6.32972,32,0,834,23,0,0,0
0,6.34564,110,0,1095,13,0,0,0
1,6.38012,57,0,735,39,0,1,0
0,6.43775,198,0,0,25,0,0,1
0,6.44254,57,0,890,35,0,1,0
0,6.48158,109,0,1193.5,23,1,0,1
1,6.48311,44,0,764.5,13,0,0,0
1,6.48616,53,1,940,23,0,1,0
1,6.49828,32,0,695,90,0,0,1
0,6.51767,53,0,1183.5,16,1,1,0
0,6.56808,91,0,1004.5,27,0,0,0
1,6.60123,88,0,880.5,62,0,1,0
0,6.65929,52,0,1088.5,8,0,1,0
0,6.68711,109,0,1091.5,24,0,0,0
1,6.73102,90,0,893.5,16,0,0,0
0,6.76734,198,0,0,50,1,0,1
0,6.78897,64,0,879.5,39,0,1,0
0,6.87005,66,0,1093,10,0,1,0
0,6.87316,64,0,799.5,8,1,1,1
0,6.97541,32,0,695,90,1,0,1
1,6.98286,104,0,942.5,46,0,0,0
0,6.98841,74,0,976,11,0,0,0
0,7.03527,52,0,847.5,26,1,1,0
0,7.04491,32,1,775,16,0,0,1
1,7.08171,110,0,1190,31,0,0,0
1,7.2724,64,0,1297,14,0,1,0
0,7.38275,203,0,0,21,0,0,0
2,7.44249,83,0,1002.5,48,0,0,0
0,7.60489,55,0,968.5,12,0,1,0
0,7.63723,56,0,1010,28,0,1,0
1,7.66575,53,0,970,43,0,1,0
0,7.73762,89,0,921.5,32,0,0,0
1,7.77149,64,1,1140.5,16,0,1,0
0,7.79893,64,0,560,21,0,1,1
1,7.92008,44,0,927.5,20,0,0,0
0,7.94058,55,0,943,14,1,1,0
1,7.94874,90,0,975,32,0,0,0
0,7.95963,52,1,880,24,1,1,0
0,7.95963,52,0,645,25,1,1,0
0,7.95963,42,0,875,20,0,0,1
0,7.95963,42,0,0,0,0,0,1
0,7.95963,32,0,0,0,1,0,1
0,7.95963,32,0,0,0,0,0,0
0,7.95963,32,0,0,0,0,0,0
0,7.98242,32,0,773,15,0,0,1
0,8.00637,104,0,955.5,24,1,0,0
1,8.03528,57,0,1024,25,0,1,0
0,8.10742,82,0,860,29,0,1,1
0,8.10832,57,0,970,24,0,1,0
0,8.18507,68,0,711,12,1,0,0
0,8.18813,87,0,1019.5,95,0,1,0
2,8.20849,110,0,1055,26,0,0,0
0,8.32506,55,0,686,13,0,1,1
0,8.34617,58,0,990,27,0,1,0
1,8.37008,107,0,1047.5,21,1,0,0
0,8.37378,110,0,1174,15,1,0,0
0,8.5311,52,0,862.5,17,0,1,1
0,8.5415,146,0,994,39,1,0,1
0,8.591,56,0,929,20,1,1,0
0,8.62191,52,0,920,18,0,1,0
1,8.62694,104,0,939.5,20,1,0,0
1,8.65277,44,0,0,0,0,0,1
0,8.66095,55,0,910,23,0,1,0
0,8.67693,44,1,959.5,15,1,0,1
0,8.69918,109,0,0,27,1,0,1
0,8.71604,32,0,882.5,20,0,0,1
0,8.74449,109,1,0,43,0,0,1
2,8.77184,203,1,0,41,0,0,1
1,8.83928,32,0,719,14,0,0,1
1,8.86729,55,0,992,13,1,1,0
1,8.92292,45,1,833.5,20,0,1,0
1,9.03169,87,0,1102,48,1,0,0
0,9.06785,52,0,930,15,1,1,0
0,9.18471,56,0,826.5,17,0,1,0
0,9.2459,45,0,810,50,0,0,1
2,9.51488,57,0,950,40,0,1,0
1,9.80168,32,0,815,10,0,0,1
1,9.87447,198,0,1030,54,0,0,1
1,9.88134,52,0,830,232,0,0,1
1,10.1454,32,0,743,18,0,0,1
0,10.2894,42,0,0,0,1,0,1
0,10.2894,32,0,0,0,0,0,1
0,10.2894,109,1,0,16,1,0,1
0,10.2894,104,0,1100.5,0,1,0,0
0,10.2894,44,1,0,0,0,0,1
3,10.3344,42,1,655,138,0,0,0
1,10.6488,64,0,1087.5,13,0,1,1
1,10.9825,68,0,706.5,16,1,0,1
1,10.9825,32,0,800,20,0,0,1
2,11.0219,68,0,757.5,24,1,0,1
