"ncust" "nhu" "aid" "aha" "dnc" "ds"
"1" 9 6.06 41.393 3 3.04 6.32
"2" 6 6.41 23.635 18 1.95 8.89
"3" 28 5.05 55.475 27 6.54 2.05
"4" 11 8.66 64.646 31 1.67 5.81
"5" 4 5.99 31.972 7 0.72 8.11
"6" 4 5.2 41.755 23 2.24 6.81
"7" 0 3.54 46.014 26 0.77 9.27
"8" 14 4.83 34.626 1 3.51 7.92
"9" 16 10.34 85.207 13 4.23 4.4
"10" 13 4.56 33.021 32 3.07 6.03
"11" 9 0.19 39.198 22 2.96 6.09
"12" 14 5.3 38.794 5 2.77 6.08
"13" 5 3.37 30.855 1 1.33 9.86
"14" 9 5.86 28.852 7 2.98 8.64
"15" 9 11.13 120.065 9 3.58 5.26
"16" 7 5.25 32.229 3 1.27 7.56
"17" 4 3.77 36.828 15 1.92 8.91
"18" 26 11.27 90.302 26 5.83 1.74
"19" 32 8.77 51.707 27 5.19 3.66
"20" 26 10.07 89.86 55 5.03 2.03
"21" 11 6.57 60.513 32 4.38 8.3
"22" 12 3.02 42.191 54 3.41 5.21
"23" 3 6.03 28.736 41 0.34 8.29
"24" 15 5.56 49.129 33 4.78 3.89
"25" 12 6.35 29.308 42 2.53 6.17
"26" 9 3.86 26.734 14 4.99 9.7
"27" 14 10.11 57.862 54 4.6 3.94
"28" 10 9.25 70.03 36 4.58 8.66
"29" 22 8.98 46.027 44 3.03 5.6
"30" 8 7.31 32.202 43 5.15 9.67
"31" 3 5.84 32.871 13 1.47 8.02
"32" 11 4.39 29.564 18 3.67 5.1
"33" 2 1.53 46.806 21 0.84 9.18
"34" 6 10.69 59.805 22 2.5 9.43
"35" 11 4.43 42.555 53 2.62 5.75
"36" 10 3.92 36.998 7 1.03 7.74
"37" 0 8.28 85.664 4 1.3 9.66
"38" 15 1.59 21.238 4 2.98 8.66
"39" 9 8.3 47.972 40 2.28 9.26
"40" 16 2.34 33.246 26 3.95 4.61
"41" 29 10.04 45.927 24 4.9 2.69
"42" 6 6.43 58.315 8 0.78 6.26
"43" 26 7.41 69.177 9 6.61 0.87
"44" 13 3.06 40.886 27 4.53 2.68
"45" 0 1.8 44.588 14 0.88 9.38
"46" 8 6.44 47.347 35 2.94 7.69
"47" 8 1.09 31.791 9 4.37 9.31
"48" 21 8.09 42.74 17 4.1 4.75
"49" 12 7.22 59.175 35 2.38 5.09
"50" 26 10.06 48.862 48 5.04 2.21
"51" 3 7.86 54.678 20 3.59 8.52
"52" 7 10.41 59.835 40 1.68 7.59
"53" 5 5.24 51.756 39 0.57 9.1
"54" 9 7.25 34.817 18 1.88 7.96
"55" 13 4.82 29.942 14 3.17 6.91
"56" 28 6.66 68.684 25 5.78 2.55
"57" 10 4.5 64.79 3 4.35 6.03
"58" 12 6.67 58.535 25 2.78 5.59
"59" 6 9.21 42.919 13 2.48 7.69
"60" 11 4.12 40.722 32 2.47 9.43
"61" 12 5.26 42.12 30 4.29 6.15
"62" 11 5.23 28.647 43 2.69 7.54
"63" 9 10.66 61.464 40 1.15 8.25
"64" 8 10.01 70.136 29 2.58 9.67
"65" 9 6.69 34.595 38 4.06 8.78
"66" 8 5.82 30.878 58 1.91 6.86
"67" 6 8.72 39.366 52 0.73 8.67
"68" 6 7.58 61.563 31 3.08 8.33
"69" 15 7.82 38.412 26 2.72 6.71
"70" 15 5.51 41.045 2 3.62 7.45
"71" 12 2.01 23.864 43 4.8 8.74
"72" 10 7.3 38.647 9 0.67 7.92
"73" 8 7.38 58.387 13 2.01 6.6
"74" 3 4.69 37.242 40 1.42 8.37
"75" 10 8.98 38.337 32 2.63 9.56
"76" 10 7.8 68.201 5 4.12 6.69
"77" 15 6.22 41.066 46 4.48 4.1
"78" 6 3.91 40.873 19 1.67 6.9
"79" 9 5.31 54.655 40 2.32 5.69
"80" 21 5.66 49.826 1 3.06 4.03
"81" 13 4.1 29.013 50 2.68 7.58
"82" 8 7.19 78.082 31 2.7 4.89
"83" 6 6.84 57.506 51 2.13 8.31
"84" 8 8.65 47.118 46 2.17 9.06
"85" 21 10.31 72.373 48 6.27 1.75
"86" 7 8.62 67.787 1 2.1 8.63
"87" 19 7.58 40.305 15 3.95 5.58
"88" 13 11.41 50.026 45 2.79 6.18
"89" 24 12.89 98.701 8 5.87 2.73
"90" 7 6.74 58.195 54 4.3 6.4
"91" 3 6.83 47.991 57 1.54 9.52
"92" 8 6.5 63.123 15 3.17 9.46
"93" 9 4.06 39.051 29 3.11 9.62
"94" 18 9.66 114.633 38 6.33 2.22
"95" 12 11.03 55.773 44 4.58 8.68
"96" 8 3.12 43.393 41 2.25 6.43
"97" 16 7.87 61.765 53 5.39 3.37
"98" 5 4.16 33.348 48 1.48 7.66
"99" 8 5.28 44.541 31 4.91 9.67
"100" 11 9.19 40.795 8 2.97 7.79
"101" 12 4.82 55.972 9 2.91 5.85
"102" 14 7.81 33.14 30 1.42 5.71
"103" 17 1.2 19.673 21 2.65 6.25
"104" 17 6.93 36.19 6 4.7 9.54
"105" 6 3.48 25.768 42 1.43 7.11
"106" 15 7.8 53.974 47 4.21 6.41
"107" 10 7.52 71.814 1 3.13 5.47
"108" 6 8.17 54.429 47 1.9 9.9
"109" 4 2.68 34.022 54 1.2 9.51
"110" 6 5.19 52.85 43 2.92 8.62
